s(R)	G
0.01739130434579177	12.087113755714284
0.06086956521642775	10.790960457619047
0.09999999999876873	11.045341878333332
0.13913043478110945	11.722643453333331
0.1826086956517457	15.335957875476188
0.22173913043285556	15.38697102404762
0.26086956521642746	17.05941632
0.2999999999993843	15.250672835
0.3391304347811095	7.09677192
0.38260869565174566	3.9331045254761903
0.4217391304365492	4.700089030952381
0.4608695652164272	4.5174924773809515
0.5	3.9682051240476186
0.5391304347835727	3.710424362857143
0.5782608695634508	3.0535155897619046
0.6173913043482535	2.2900926788095237
0.6608695652188892	1.5115693364285714
0.7000000000006166	1.8973989357142855
0.739130434783573	2.3457852404761903
0.7782608695671452	2.4284291280952375
0.8173913043482525	2.5998248309523806
0.860869565218892	1.9811854726190474
0.9000000000012321	0.15069510452380952
0.9391304347835704	0.0
0.9825327510937442	6.431697582142857
